gene_nr,fit_invitro_hff,fit_invivo_PE,fit_invivo_lung,fit_invivo_liver,fit_invivo_spleen,fit_naive_bmdm,fit_ifng
200010,2.54,0.3932,0.0108,-0.0984,-0.0023,0.0979,-0.3323
200130,,-2.8243,0.0,-0.0243,-0.8602,,
200230,,-0.0966,-0.2176,-0.2455,-0.3987,,
200240,,-0.1054,-0.0019,-0.1602,-0.0906,,
200250,,-0.2442,-0.2477,0.1234,-0.0162,,
200270,0.93,-0.0281,0.065,-0.1907,-2.6487,-0.4626,0.4093
200280,-1.28,0.0066,2.7699,3.8119,3.2407,0.4796,-0.2055
200290,0.75,-40.5167,-13.6125,-13.6188,-28.6152,0.2198,-2.4447
200295,1.35,0.3044,0.0066,0.7306,0.0105,0.7118,-0.2998
200300,2.25,0.2869,0.6091,0.7338,0.8054,0.0345,-0.0986
200310,-0.05,0.0834,-1.5927,-0.0189,-0.2511,-0.9387,0.3504
200320,,6.2437,2.0665,1.374,0.5348,,
200330,0.26,-3.7608,-2.3305,-8.9929,-6.7378,-0.1488,-0.7002
200340,1.89,0.1748,-1.0551,-0.0363,-0.0842,0.2766,-0.3661
200350,2.18,0.4956,0.2658,0.1799,0.7409,0.2234,-0.6539
200360,2.63,-0.4587,-1.4319,-1.5134,-0.8001,-0.0733,-0.081
200370,-0.53,-411.8617,-163.5337,-85.0376,-75.1236,0.9001,-2.7773
200385,0.98,-5.3782,-0.8317,-2.8238,-1.3122,-0.5562,-0.5289
200400,-3.17,-6.0067,-0.0156,-0.2127,-0.0811,0.4563,-0.1035
200410,-0.41,-1.1256,-7.9119,-0.847,-1.8508,0.4774,-0.8436
200430,-0.66,1.553,15.4462,9.3698,1.2221,1.1321,-0.8756
200440,-1.22,0.0898,0.045,0.5656,0.8939,-0.6789,0.1114
200450,1.0,0.0472,0.409,0.0687,-0.097,-0.1167,-0.3562
200460,0.45,-139.5198,-258.3405,-104.1707,-143.6354,-0.1259,-1.5265
200470,0.19,0.065,0.0197,0.1725,0.0039,0.5482,-0.2406
200480,1.23,-0.5727,0.0006,-0.9861,-0.0325,-0.1893,0.0938
200590,2.09,-0.0562,-0.3086,-1.3601,-0.1688,0.0931,-0.7293
200595,1.0,0.0081,-0.0958,-0.0491,-0.1737,0.772,-0.5519
200600,0.38,0.8589,0.6707,0.5103,0.378,0.8833,-0.305
200700,,-0.6164,-0.2661,0.0025,-0.0005,,
201100,-1.44,-2.0152,-0.693,-0.2441,-0.5157,-0.1516,-0.3495
201110,-3.19,-2.4834,-1.2104,-1.5974,-3.9289,0.4073,-0.1796
201120,-1.46,5.0429,-0.0167,-0.0004,-0.3381,0.5468,-0.6488
201130,-0.18,-28.3901,-2.8027,-3.9695,-4.7916,-0.0891,-0.3047
201140,-1.19,-91.2679,-118.8758,-90.7735,-114.9667,0.4118,-1.2816
201150,-1.57,35.9614,5.1091,5.8406,0.2551,0.3889,-0.0556
201160,1.68,0.0346,0.0467,0.9059,1.03,-0.3998,0.0175
201170,0.78,-8.2549,-10.5596,-9.9679,-9.9281,0.0484,-0.1767
201180,0.815,-0.4333,0.0002,-0.1456,-0.0812,0.0058,0.2953
201190,0.69,-0.3407,-0.2207,-0.7527,-0.029,-0.3501,0.1932
201200,-3.11,-5.4776,-1.6139,-0.5159,-3.1706,-0.0923,0.2451
201210,-3.48,0.5386,-40.7601,-0.6781,-47.2808,1.0213,-0.3248
201220,-5.4,0.1787,-0.0372,-0.0667,-5.5357,0.5121,-0.0407
201230,-1.18,-1.9083,-11.1345,-8.3388,-1.6855,-0.2468,-1.6923
201240,0.67,0.6764,0.0437,1.0537,2.0884,0.3031,-0.3401
201250,0.48,0.8084,2.9068,5.103,6.0501,-0.6714,-0.3998
201260,1.13,-0.1556,-3.219,-4.5724,-4.6484,-0.1737,-0.2612
201270,-3.41,-4.7757,-0.2493,-14.7153,-51.589,0.391,0.3948
201380,-2.84,-6.9493,-0.1785,-4.5112,-0.8879,0.599,-0.0407
201390,1.86,-0.4817,-0.3696,0.0518,0.0927,-0.1739,0.175
201400,-1.52,-62.2398,-80.7852,-68.8271,-43.949,2.025,-1.781
201520,-0.25,0.0003,0.0295,0.0141,0.061,-0.3856,0.1223
201630,0.795,-0.836,0.2256,-0.9458,-0.1519,,
201640,0.09,1.3383,2.2646,3.8497,0.2383,0.1232,-0.6491
201650,-1.02,0.0126,-0.033,-0.0455,-0.2062,0.0548,-0.5676
201660,0.62,-0.2167,-1.2084,-0.3053,-0.4122,0.2221,-0.3946
201670,0.17,-0.0176,-0.4657,-2.4023,-5.6667,0.0742,-0.7814
201680,-4.55,0.0341,0.01,0.0004,-0.0,0.5889,-0.0305
201690,-1.28,0.0408,0.2381,1.5718,0.8311,0.529,-0.1247
201700,-3.65,-8.1056,-1.5778,-3.3067,-4.1811,0.2655,-0.4547
201710,-4.0,-10.8904,-75.2139,-22.0355,-55.6598,0.4281,-0.2678
201720,-1.12,-8.2525,-6.6608,-2.581,-13.3993,0.4857,-0.3027
201730,-0.62,-0.0001,0.0011,0.0172,0.3013,-1.2179,0.3501
201740,-0.29,-0.3012,-0.2268,-2.9852,-2.965,-0.3434,-0.1608
201750,1.45,-0.1037,-0.6859,-0.4055,-0.1146,-0.0557,-0.4758
201760,0.54,-0.0074,-0.2038,-1.5757,-0.3069,0.1171,-0.3828
201770,-0.56,1.0418,0.4747,0.4702,0.5205,1.1641,-1.0622
201775,2.09,0.0,0.571,0.1951,0.0119,0.086,0.1559
201780,-1.17,2.6743,12.0988,51.4434,13.8401,0.7773,-0.6185
201785,2.21,0.0505,0.467,0.7745,0.1226,0.2549,-0.7079
201790,-3.7,-0.0915,-5.3517,-0.9091,-1.7002,0.3214,0.1217
