filename,width,height,n_wells
13567_2023_1261_MOESM5_ESM.png,4044,3479,3
pmc__PMC10012559__13071_2023_5698_Fig2_HTML.png,1961,1378,2
pmc__PMC10015115__gr1.png,2100,1136,3
pmc__PMC10015115__gr4.png,1440,2234,6
pmc__PMC10033509__42003_2023_4664_Fig2_HTML.png,1406,1965,4
pmc__PMC10038098__LSA-2022-01710_Fig6.jpg,3967,4324,6
pmc__PMC10106592__fcimb-13-1145824-g003.png,3791,1703,4
pmc__PMC10263302__ppat.1011430.g011.png,1575,1546,5
pmc__PMC10269819__spectrum.00040-23-f004.png,1850,1689,4
pmc__PMC10269819__spectrum.00040-23-f005.png,2090,892,4
pmc__PMC10294612__mbio.00458-23-f005.png,1994,2625,6
pmc__PMC10450435__pnas.2309043120fig02.png,1654,2183,4
pmc__PMC10450435__pnas.2309043120fig03.png,1654,2319,2
pmc__PMC10450435__pnas.2309043120fig05.png,1585,2282,2
pmc__PMC10470533__mbio.03573-22.f003.png,2016,1451,4
pmc__PMC10499268__ppat.1011566.g003.png,1500,1918,2
pmc__PMC10499268__ppat.1011566.g005.png,1500,1979,4
pmc__PMC10569561__ppat.1011707.g002.png,1578,1320,4
pmc__PMC10653836__mbio.01769-23.f001.png,2331,3234,14
pmc__PMC10730954__gr1.png,1267,2721,3
pmc__PMC10746186__mbio.02254-23.f003.png,1819,1435,4
pmc__PMC10746186__mbio.02254-23.f006.png,1887,1596,2
pmc__PMC10746232__mbio.02513-23.f006.png,1871,1889,2
pmc__PMC10746232__mbio.02513-23.f007.png,1881,1458,2
pmc__PMC10752510__ppat.1011831.g002.png,1786,2202,7
pmc__PMC10752510__ppat.1011831.g005.png,1500,2256,10
pmc__PMC10795397__13567_2023_1261_Fig6_HTML.png,1961,987,4
pmc__PMC10817966__41467_2024_44967_Fig1_HTML.png,2000,2180,6
pmc__PMC10817966__41467_2024_44967_Fig4_HTML.png,1739,2550,10
pmc__PMC10892008__pathogens-13-00121-g002.png,1800,999,2
pmc__PMC10905885__13071_2024_6187_Fig2_HTML.png,1961,1320,6
pmc__PMC10921786__13071_2024_6195_Fig2_HTML.png,1772,1926,2
pmc__PMC10921786__13071_2024_6195_Fig5_HTML.png,1772,2011,10
pmc__PMC10946778__FSB2-37-0-g005.png,4134,2225,6
pmc__PMC10949797__13071_2024_6135_Fig3_HTML.png,1961,2016,6
pmc__PMC10949797__13071_2024_6135_Fig6_HTML.png,1962,2421,4
pmc__PMC10950331__elife-88866-fig3.png,2117,2767,8
pmc__PMC10962585__KVIR_A_2329566_F0001_OC.png,3500,4535,18
pmc__PMC10996207__13071_2024_6259_Fig2_HTML.png,1961,987,3
pmc__PMC10996207__13071_2024_6259_Fig3_HTML.png,1961,630,4
pmc__PMC11101121__pbio.3002634.g003.png,1593,2264,2
pmc__PMC11101121__pbio.3002634.g005.png,1894,1748,8
pmc__PMC11101121__pbio.3002634.g006.png,1709,2400,9
pmc__PMC11102469__42003_2024_6310_Fig4_HTML.png,1750,1696,4
pmc__PMC11102469__42003_2024_6310_Fig8_HTML.png,1886,2500,8
pmc__PMC11166348__ppat.1012269.g002.png,1750,1741,4
pmc__PMC11218972__ppat.1011979.g002.png,1617,2400,4
pmc__PMC11237481__mbio.02954-23.f007.png,2713,2890,6
pmc__PMC11284705__gr3.png,1836,2480,4
pmc__PMC11306119__fcimb-14-1416105-g002.png,4138,4205,7
pmc__PMC11481526__mbio.00872-24.f003.png,1509,2066,8
pmc__PMC11500380__41541_2024_996_Fig2_HTML.png,2075,1363,2
pmc__PMC11559087__mbio.02380-24.f001.png,1927,2116,4
pmc__PMC11601059__KVIR_A_2432681_F0002_OC.png,4613,6992,8
pmc__PMC11610562__KVIR_A_2427844_F0003_OC.png,4088,2828,5
pmc__PMC11801735__ppat.1012857.g007.png,2197,2186,6
pmc__PMC11831446__ADVS-12-2412000-g004.png,2010,1067,3
pmc__PMC11834506__13071_2025_6695_Fig4_HTML.png,1961,754,2
pmc__PMC11838916__pbio.3003028.g002.png,1743,2400,8
pmc__PMC11878075__spectrum.02044-24.f003.png,1713,1706,4
pmc__PMC11885449__EMS203646-f001.png,2096,1515,2
pmc__PMC11885449__EMS203646-f005.png,2096,1602,2
pmc__PMC11922314__nihms-2060928-f0003.png,1800,1467,7
pmc__PMC11922314__nihms-2060928-f0004.png,1736,1800,3
pmc__PMC11934330__msphere.00829-24.f003.png,1265,2153,5
pmc__PMC11951701__13071_2025_6766_Fig2_HTML.png,1961,1582,4
