gene_nr,uniprot
039160,A0A125YZH9
200010,S8ER97
200110,A0A125YH64
200130,A0A125YKY2
200230,S8EXK9
200240,S8G8W7
200250,S8GIC9
200260,A0A125YUZ7
200270,S8F0R5
200280,S8EXK6
200290,S8G8W2
200320,A0A125YSF4
200330,A0A125YJ55
200340,S8GIB9
200350,S8F3Z4
200360,S8F0Q6
200370,S8EXJ7
200385,S8GIB3
200400,S8F3Y5
200410,S8F0Q1
200430,S8EXJ3
200440,S8G8U8
200450,S8GIA8
200460,S8F3X7
200470,S8F0P6
200480,S8EXJ0
200590,S8GFX6
200595,A0A125YRS1
200600,S8EV86
200700,S8F1J9
201100,S8F6L1
201110,S8F3J8
201120,S8GEU1
201130,S8GP43
201140,S8F9Q8
201150,S8F6K7
201160,S8F3J4
201170,A0A125YGF5
201180,S8GP38
201200,S8F6K2
201210,S8F3J0
201220,A0A125YV87
201230,S8F9P8
201240,A0A125YVH9
201250,S8F3I6
201260,S8GET0
201270,S8GP32
201380,S8F9P4
201390,S8F6J3
201400,S8F3I3
201520,S8GES5
201630,S8GP24
201660,S8F3H4
201670,S8GER5
201680,S8GP08
201690,S8F9H7
201700,S8F6C0
201710,S8F3F2
201720,S8GEP7
201730,S8GP02
201740,S8F9H3
201750,A0A125YNM8
201760,A0A125YUC9
201770,S8GEN8
201775,A0A125YFU5
201780,S8F9G8
201785,S8F6B2
201790,S8F3D9
201800,A0A125YM53
201810,S8GEN2
201820,S8F9G0
201830,S8F6A8
201840,S8F3D0
201850,S8GEM4
201860,A0A125YR16
201870,S8F9F5
201880,A0A125YZ21
201900,S8GNY5
202010,S8F9F0
202020,S8F6A1
202040,S8GNY1
202050,S8F9E4
202065,A0A125YQJ9
202070,S8GEK1
202080,S8GNX4
202090,S8F9E0
202100,S8F691
202110,S8F3A1
202120,S8GEJ5
202140,S8GNW8
202160,S8F9D6
202170,S8F686
202180,S8F394
202190,S8GEJ0
202200,S8GNW3
202205,S8F9D3
202210,A0A125YJL6
202220,S8F387
202230,S8GEI3
202240,S8GNV8
202250,S8F9C9
202255,S8F675
202285,S8GNV4
202290,A0A125YUR2
202300,A0A125YMV5
202310,S8F373
202330,S8GEH0
202340,S8GNU8
202350,S8F9B8
202360,S8F669
202370,S8F368
202375,S8GEG5
202380,A0A125YTR8
202390,S8F9B5
202400,S8F666
202410,S8F363
202420,S8GEG0
202430,S8GNT8
202440,S8F9B1
202445,S8F663
202450,A0A125YKV7
202460,S8GEF4
202470,S8GNT1
202480,S8F9A6
202490,S8F659
202500,A0A125YZ77
202510,S8GEF1
202520,S8GNS6
202530,S8F9A0
202540,S8F656
202550,S8F348
202568,S8GEE7
202572,S8GNS1
202580,S8F997
202590,S8F343
202600,A0A125YWF2
202610,S8GEE0
202620,S8GNR6
202630,S8F993
202640,S8F651
202650,S8F339
202680,S8GED8
202690,A0A125YUP0
202700,S8F989
202720,S8F645
202730,S8GED2
202735,S8F336
202740,S8GNQ5
202750,S8F984
202760,S8F641
202770,A0A125YU00
202780,S8GEC6
202790,S8GNQ0
202800,S8F980
202810,S8F640
202820,A0A125YRV8
202830,S8GEC0
202840,S8GNP4
202850,S8F976
202860,S8F637
202870,S8F324
202880,S8GEB6
202890,S8GNN9
202900,S8F973
202910,S8F316
202920,S8F631
202930,S8GEB0
202940,S8GNN2
202950,S8F626
202960,S8F968
202970,S8F312
202975,S8GEA4
202980,S8GNM8
203010,S8F307
203020,S8GE99
203030,S8GNM2
203040,S8F959
203050,S8F2Z9
203060,S8F618
203070,S8GE93
203080,S8GNL6
203090,S8F956
203100,A0A125YMD6
203110,S8F2Z2
203120,S8GE87
203135,S8GNL0
203150,S8F953
203160,S8F610
203170,S8F2Y7
203180,S8GNK5
203200,S8F951
203220,S8F605
203230,A0A125YW77
203240,S8GE76
203250,S8GNJ9
203260,S8F948
203270,S8F600
203280,A0A125YQY2
203290,S8GE72
203300,S8GNJ1
203310,A0A125YI90
203320,S8F5Z3
203330,S8F2X0
203340,S8GE66
203350,S8GNI5
203358,S8F940
203362,A0A125YPX9
203370,S8F2W4
203375,S8GE62
203380,S8GNH8
203390,S8F936
203400,S8F2W0
203420,S8F5Y4
203440,S8GNH3
203450,S8F935
203460,S8F5X9
203470,S8GE52
203480,S8F2V7
203490,S8GNG8
203500,A0A125YFM6
203505,A0A125YRW8
203510,S8F2V3
203520,S8GE47
203540,S8GNG2
203590,S8GE42
203600,S8GNF7
203610,S8F921
203620,S8F5W4
203630,A0A125YNY1
203665,S8GE38
203682,S8GNF3
203685,S8F918
203688,S8F5V7
203690,S8F2U2
203700,A0A125YYM2
203705,A0A125YR33
203710,S8F917
203720,A0A125YRZ8
203730,S8F2T8
203740,S8GNE4
203750,S8F914
203760,S8F5U9
203770,S8F2T2
203780,S8GE26
203790,S8GNE0
203800,S8F912
203810,S8F5U3
203815,S8F2S8
203820,S8GE22
203830,S8GND7
203840,S8F909
203860,S8F5T7
203870,A0A125YPV6
203880,S8GND1
203890,S8F904
203900,S8F5T4
203910,S8F2S1
203930,S8GE12
203940,S8GNC9
203950,S8F903
203960,S8F5T2
203970,S8F2R5
203980,S8GE08
203985,S8GNC5
203990,A0A125YHX4
204000,S8F5S9
204010,S8F2R2
204020,A0A125YV57
204040,S8GNC2
204045,S8F8Z6
204050,S8F5S3
204060,S8GE00
204070,S8GNB9
204080,S8F8Z3
204090,S8F5R9
204100,S8F2Q3
204110,S8GDZ7
204120,S8GNB2
204130,S8F8Y9
204140,S8F5R4
204160,S8GDZ2
204270,S8GNA6
204280,S8F8Y6
204290,S8F5R1
204300,S8F2Q0
204310,S8GDY9
204320,S8F8Y3
204325,S8F5Q7
204330,S8GDY3
204340,S8F2P8
204350,S8GN97
204360,S8F8Y0
204370,A0A125YZA0
204380,S8F2P4
204390,S8GDX7
204395,S8GN95
204400,S8F8X7
204410,S8F5P9
204420,S8F2P2
204440,S8GDX4
204460,S8GN88
204480,S8F2N8
204490,A0A125YI66
204500,S8GN83
204505,A0A125YXJ9
204510,S8F5P3
204520,S8F2N5
204530,A0A125YJF8
204540,S8GN79
204550,S8F8W6
204560,S8F5N9
204870,A0A125YIJ4
204880,S8GDW1
205000,S8GN75
205010,S8F8W2
205020,S8F5N5
205030,A0A125YLH1
205040,S8GDV6
205050,S8GN69
205060,S8F8V8
205070,S8F5N2
205080,A0A125YVY2
205090,A0A125YVR8
205100,S8GN62
205120,S8F5M9
205140,S8GDV0
205150,S8GN60
205160,S8F8U4
205170,A0A125YRS0
205180,A0A125YJ39
205190,S8GDU4
205200,S8GN56
205210,S8F8U2
205220,S8F2L2
205230,S8F5M4
205240,S8GDU1
205250,A0A125YQL1
205265,S8F8T8
205280,S8F5M0
205290,S8F2K7
205300,S8GDT7
205320,S8GN45
