gene_nr,identifier,accession,length,dtm_type,n_signal,n_tm,sp_start,sp_end,sp_length,tm_1_start,tm_1_end,tm_1_length,tm_2_start,tm_2_end,tm_2_length,tm_3_start,tm_3_end,tm_3_length,tm_4_start,tm_4_end,tm_4_length,tm_5_start,tm_5_end,tm_5_length,tm_6_start,tm_6_end,tm_6_length,tm_7_start,tm_7_end,tm_7_length,tm_8_start,tm_8_end,tm_8_length,tm_9_start,tm_9_end,tm_9_length,tm_10_start,tm_10_end,tm_10_length,tm_11_start,tm_11_end,tm_11_length,tm_12_start,tm_12_end,tm_12_length,tm_13_start,tm_13_end,tm_13_length,tm_14_start,tm_14_end,tm_14_length,tm_15_start,tm_15_end,tm_15_length,tm_16_start,tm_16_end,tm_16_length,tm_17_start,tm_17_end,tm_17_length,tm_18_start,tm_18_end,tm_18_length,tm_19_start,tm_19_end,tm_19_length,tm_20_start,tm_20_end,tm_20_length,tm_21_start,tm_21_end,tm_21_length,tm_22_start,tm_22_end,tm_22_length,tm_23_start,tm_23_end,tm_23_length,tm_24_start,tm_24_end,tm_24_length
200010,TGME49_200010,"A0A7J6JVJ0,S8ER97",413,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200110,TGME49_200110,"A0A125YH64,A0A7J6JVZ4,A0A7J6JW19,A0A7J6KFX1,A0A7J6KG33,A0A7J6KH72",125,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200130,TGME49_200130,"A0A125YKY2,A0A7J6JV27",238,SP+TM,1,1,1,54,54,181,201,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200230,TGME49_200230,S8EXK9,603,SP,1,0,1,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200240,TGME49_200240,"A0A7J6K4V5,A0A7J6K6C0,A0A7J6K7J9,S8G8W7",351,SP,1,0,1,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200250,TGME49_200250,"A0A7J6K611,S8GIC9",351,SP,1,0,1,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200260,TGME49_200260,"A0A125YUZ7,A0A7J6K6T9",127,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200270,TGME49_200270,"A0A7J6K6M4,S8F0R5",351,SP,1,0,1,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200280,TGME49_200280,"A0A7J6K7N5,S8EXK6",948,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200290,TGME49_200290,"A0A7J6K735,Q695U0,S8G8W2",293,TM,0,7,,,,62,78,17,117,137,21,144,164,21,181,192,12,204,222,19,230,245,16,258,278,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200310,TGME49_200310,,93,TM,0,1,,,,40,61,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200320,TGME49_200320,"A0A125YSF4,Q27375",279,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200330,TGME49_200330,"A0A125YJ55,A0A7J6K7K6",589,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200340,TGME49_200340,"A0A7J6K620,S8GIB9",259,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200350,TGME49_200350,"A0A7J6K5T0,S8F3Z4",969,SP,1,0,1,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200360,TGME49_200360,"A0A7J6K6V1,S8F0Q6",186,SP+TM,1,1,1,19,19,103,118,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200370,TGME49_200370,"A0A7J6K6N4,S8EXJ7",638,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200385,TGME49_200385,"A0A7J6K7P5,S8GIB3",2415,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200400,TGME49_200400,"A0A7J6K744,S8F3Y5",1058,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200410,TGME49_200410,"A0A7J6K4V9,S8F0Q1",927,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200430,TGME49_200430,"A0A7J6K6D7,S8EXJ3",514,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200440,TGME49_200440,"A0A7J6K4X3,S8G8U8",958,TM,0,7,,,,16,31,16,128,149,22,554,575,22,589,614,26,624,646,23,867,887,21,909,929,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200450,TGME49_200450,"A0A7J6K7L5,S8GIA8",1317,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200460,TGME49_200460,"A0A7J6K631,S8F3X7",436,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200470,TGME49_200470,"A0A7J6K5T9,S8F0P6",616,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200480,TGME49_200480,"A0A7J6K6W0,S8EXJ0",167,SP+TM,1,1,1,38,38,103,123,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200590,TGME49_200590,S8GFX6,201,SP+TM,1,1,1,54,54,148,168,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200595,TGME49_200595,"A0A125YRS1,A0A7J6K1J6",126,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200600,TGME49_200600,"A0A7J6KF40,A0A7J6KF56,A0A7J6KGG3,A0A7J6KGV1,A0A7J6KHU5,Q1JSZ8,Q1JSZ9,Q1JT00,Q1JT01,Q1JT02,S8EV86",141,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200700,TGME49_200700,"S8F1J9,S8F708",139,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201100,TGME49_201100,"A0A7J6K7C9,A0A7J6K836,A0A7J6K8V1,A0A7J6K924,A0A7J6K958,A0A7J6KFW0,A0A7J6KIC1,S8F6L1",229,SP,1,0,1,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201110,TGME49_201110,"A0A7J6K6D8,S8F3J8",82,TM,0,2,,,,16,25,10,27,36,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201120,TGME49_201120,"A0A7J6K7S6,S8GEU1",2257,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201130,TGME49_201130,"A0A7J6K6E2,S8GP43",746,SP,1,0,1,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201140,TGME49_201140,"A0A7J6K8H5,S8F9Q8",1051,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
